date and time reported,date observed,County,City,Habitat,firefly count (estimate)
06/12/2021 - 10:31pm,6/12/2021,Rich,Garden city,Marsh,5
04/30/2015 - 9:04pm,7/3/2014,Beaver,beaver,marsh/slough/pasture,3
07/22/2014 - 6:31pm,7/6/2014,Box Elder,Willard,Pond/Creek with trees and grassy area,3
04/30/2015 - 9:22am,6/27/2014,Box Elder,Perry,wetland,2
06/02/2015 - 6:09pm,7/4/2014,Box Elder,Brigham City,pasture,
06/02/2015 - 11:41pm,6/1/2015,Box Elder,Perry,Pasture,
06/13/2015 - 1:01am,6/18/2014,Box Elder,Beigham city,grassy field near small irrigation ditch,10
07/13/2015 - 11:57am,6/19/2015,Box elder,bear river city and Tremonton,bird refuge/ marshes,9
07/28/2015 - 1:53pm,7/28/2015,Box Elder,Brigham City,Wetland/Pasture,0
06/20/2016 - 10:44pm,6/20/2016,Box Elder,Perry,Pasture,15
06/19/2017 - 10:39pm,6/19/2017,Box Elder,Brigham City,Pasture/wet meadow,2
06/21/2017 - 5:46pm,6/20/2017,Box Elder,Perry,Marshy pond behind house,10
06/25/2017 - 12:10am,6/21/2017,Box Elder,Brigham city,Pature,20
06/01/2018 - 12:21am,5/31/2018,Box elder,Brigham,Pasture and farm,1
06/03/2018 - 11:03pm,6/1/2018,box elder,perry,wetland/pasture,15
06/13/2019 - 1:43am,6/12/2019,Box Elder,Brigham City,Marsh/Pasture,25
06/27/2020 - 10:22pm,6/27/2020,Box Elder,Mantua,Marsh pasture,50
07/06/2020 - 4:39am,7/6/2020,Box Elder,Mantua,Orchard,3
06/21/2021 - 11:04pm,6/21/2021,Box Elder,Brigham City,Marsh pasture,30
06/18/2022 - 7:46pm,6/17/2022,Box elder,Brigham city,Pasture,10
04/30/2015 - 4:52pm,6/4/2014,Cache,Nibley,Wetland,3
06/12/2015 - 12:33pm,6/11/2015,Cache,Mendon,Pasture,20
06/13/2015 - 1:58pm,6/11/2015,Cache,Nibley,Marsh,7
06/16/2015 - 8:14am,6/15/2015,Cache,Nibley,Marsh,20
06/19/2015 - 6:10am,6/17/2015,Cache,Nibley,Wetland,100
07/02/2015 - 5:55pm,7/2/2015,Cache,Logan,Urban,
07/12/2015 - 9:55pm,6/25/2015,Cache,Nibley,Wetland,2
07/12/2015 - 11:26pm,7/11/2015,Cache,Mendon,Marsh/pasture,5
07/13/2015 - 12:09am,6/15/2015,Cache,Providence,Tall grass,
07/13/2015 - 12:14am,6/15/2015,Cache,Nibley,Tall grass,
07/13/2015 - 12:19pm,12/19/2014,Cache,Nibley,Wet pasture,
07/14/2015 - 8:24pm,6/7/2015,Cache,Mendon,Pasture,3
06/18/2016 - 11:24pm,6/18/2016,Cache,Mendon,"Farm, pasture",30
05/30/2017 - 8:54am,5/29/2017,Cache,Nibley,Marsh,100
06/17/2017 - 11:33pm,6/17/2017,Cache,Nibbley,Feild,2
06/24/2017 - 12:39am,6/23/2017,Cache,Smithfield ,Pasture marsh,5
06/25/2017 - 11:44pm,6/25/2017,Cache,Mendon,Cattails farm fields,2
06/06/2018 - 11:06pm,6/6/2018,Cache,Logan,Outside,
06/08/2018 - 11:27pm,6/8/2018,cache,Benson,Farm,4
06/14/2018 - 7:53pm,6/13/2018,Cache,Garden City,Wetlands near lake,5
06/16/2019 - 10:09pm,6/15/2019,Cache,Nibley,Marshland surrounding neighborhood park,3
06/19/2019 - 7:16am,6/18/2019,Cache,Mendon (southeast of),Farm near irrigation ditch,
06/25/2019 - 3:19pm,6/22/2019,Cache,Nibley,Grassy Wetland,1
06/20/2020 - 11:32pm,6/20/2020,Cache,North Logan,Grass,2
06/24/2020 - 3:08pm,6/23/2020,Cache,Nibley,Wet pasture,
06/29/2020 - 12:09pm,6/25/2020,Cache,Nibley,Wetland,3
07/11/2020 - 5:31pm,7/2/2020,Cache,Logan,"fields of long grass, with low trees",2
07/11/2020 - 11:26pm,5/30/2020,Cache,Logan,Marsh,3
06/17/2021 - 8:33pm,6/16/2021,Cache,"USU Research Station, Logan Canyon",Boggy grasslands. Forrest last.,10
06/19/2021 - 2:39pm,6/18/2021,Cache,Logan,Marshy riparian,4
06/28/2021 - 9:39am,6/27/2021,Cache,Garden,Reedy Marsh,15
06/28/2021 - 6:31pm,6/24/2021,Cache,Nibley,Marsh,2
06/28/2021 - 8:03pm,6/24/2021,Cache,Logan,Long grasses at firefly nature park.,1
06/23/2022 - 1:48pm,6/10/2022,Cache,Nibley,Marsh,10
07/03/2022 - 8:04pm,7/3/2022,Cache,Lewiston,Farm,1
07/05/2022 - 7:00pm,7/1/2022,Cache,"Garden, Utah",Marsh,3
07/05/2022 - 10:42pm,7/5/2022,Cache,Mendon,Wetland,7
07/13/2015 - 9:31am,5/1/2015,Cache County,Mendon,Pasture,
06/23/2020 - 5:55pm,6/21/2020,Cache County,Nibley,Marsh,21
07/01/2018 - 11:31am,6/26/2018,cache valley,logan,pasture,4
06/14/2018 - 11:06pm,6/13/2018,Carbon,Price,Marshyby lake,3
08/22/2019 - 1:24am,8/21/2019,Carbon,Price,Farm,45
06/20/2019 - 4:03pm,6/17/2019,Daggett,Manila,"Evergreens, Pinyon pines, shrubs, and tall grass running along Sheep Creek",3
06/28/2022 - 4:49pm,6/25/2022,Daggett,Manila,Wetland,2
07/14/2014 - 11:09am,7/4/2014,Davis,Layton,Wetland,2
07/17/2014 - 9:17am,6/30/2014,Davis,Layton,Wetland,
04/29/2015 - 9:57pm,6/9/2014,Davis,Layton,Wetland,
07/11/2015 - 9:31pm,7/11/2015,Davis,Clearfield,Forest/suburb,4
07/12/2015 - 4:48pm,7/11/2015,Davis,Clearfield,Open space behind townhome,3
07/14/2015 - 4:57pm,7/12/2015,Davis,Kaysville,backyard,0
07/27/2015 - 1:30pm,7/11/2015,Davis,Layton,In trees along stream,2
05/31/2017 - 11:12am,5/30/2017,Davis,Layton,City,8
05/27/2018 - 12:16am,5/26/2018,Davis,Layton,Marsh,2
06/01/2018 - 7:37pm,5/8/2018,Davis,Layton,Wetland,
06/17/2018 - 5:58pm,6/16/2018,Davis,Layton,Park,2
06/19/2019 - 2:21pm,6/17/2019,Davis,Kaysville,Wetland,1
06/16/2021 - 12:44am,5/15/2002,Davis,Kaysville,Marsh,3
06/20/2021 - 11:04am,6/20/2021,Davis,Clinton,"Residential neighborhood (there is a pond near, but it would be quite a journey for the firefly)",2
06/27/2022 - 11:04pm,6/24/2022,Davis,North Salt Lake,Park with pond,1
07/24/2022 - 8:55pm,7/24/2022,Davis,Bountiful,Forest,2
05/04/2015 - 11:25pm,7/12/2014,Duchesne,Altamont,"Pasture, Marsh",2
07/12/2015 - 10:21pm,7/30/2014,Duchesne,Independence,Pasture and grass next to small creek,3
07/12/2015 - 10:23pm,7/4/2015,Duchesne,Neola,"pasture near sagebrush, cottonwood trees & weeds",1
07/13/2015 - 9:29am,6/12/2015,Duchesne,Neola,Neola cemetery,2
06/05/2016 - 11:43pm,6/5/2016,Duchesne,Talmage,Wetland,20
10/14/2016 - 2:00pm,8/1/2007,Duchesne,Roosevelt,riparian cottonwoods and willow,
06/02/2018 - 1:16pm,5/31/2018,Duchesne,Roosevelt,Marsh wetland,2
06/04/2018 - 10:46am,6/3/2018,Duchesne,Neola,Horse pasture,15
06/10/2018 - 10:04am,6/9/2018,Duchesne,Neola/ cedarview,Hay field,2
07/06/2019 - 5:03pm,7/4/2019,Duchesne,Fruitland,Wetland / Red River,
07/08/2019 - 11:27pm,7/7/2019,Duchesne,"Neola, Utah",Uinta River riparian area,2
07/15/2019 - 12:22am,7/13/2019,Duchesne,Hanna,Wetlands marshy grass between spring fed ponds,3
07/15/2019 - 11:27am,7/2/2019,Duchesne,Moon Lake resort,wet pasture,15
06/12/2020 - 10:50am,6/4/2020,Duchesne,Roosevelt,Grass Pasture,
07/11/2020 - 6:20pm,7/10/2020,Duchesne,Neola,Neola cemetery,5
05/30/2021 - 2:40pm,5/29/2021,Duchesne,Neola,Pasture,20
06/13/2021 - 4:16pm,6/4/2021,Duchesne,Altonah,Pasture and marsh,5
07/03/2022 - 7:36pm,4/10/1991,Duchesne,Duchesne,Wetland by the river,
07/11/2022 - 5:21pm,7/10/2022,Duchesne,Bridgeland,wetland/marsh by farm irrigated field,10
05/15/2019 - 5:45pm,6/20/2015,Elko,"Ruby Valley, NV",Marsh,
07/17/2021 - 10:55pm,7/3/2021,Elko,Reno,Marsh from geothermal activity,5
04/29/2015 - 8:40pm,7/4/2014,Garfield,Escalante,"Spring, along the wall of the Gulch and creek",5
07/13/2015 - 5:58pm,7/10/1977,Garfield,Escalante,wetlands in the trees and bushes near the edge of the creek in the canyons,2
05/23/2016 - 8:01am,7/1/2004,Garfield,Coyote Gulch,Stream,
07/17/2016 - 12:05am,7/14/2016,Garfield,"nearest is Escalante, UT",desert gulch stream,4
06/24/2020 - 4:35pm,6/19/2020,Garfield,Panguitch,Forest,0
06/06/2021 - 4:50pm,6/5/2021,Garfield,Bryce Canyon National Park,Creek side,20
06/21/2021 - 6:18pm,6/18/2021,Garfield,Henrieville,Henrieville wash,100
07/03/2022 - 8:55pm,6/29/2017,Garfield,Escalante,Desert Gully,2
07/04/2022 - 3:02pm,6/13/2022,Garfield,Bryce Canyon city,Pastureland close to the creek,1
06/18/2017 - 9:45pm,10/18/2000,Garfield ,"near Escalante, Utah",Fern Springs on the back side of Jacob Hamblin Arch in Coyote Gulch. 35 miles outside of Escalante Utah.,2
05/18/2018 - 9:24pm,6/16/2007,Garfield County,Bryce Canyon National Park,"Desert, with very small creek at campsite",2
06/18/2021 - 10:18am,6/11/2021,Garfield County,Coyote Gulch - Near Escalante,Stream running through the gulch. In the vegetated area on the canyon wall,8
07/19/2017 - 5:05pm,7/17/2015,Garfield or kane,Coyote Gulch ,Gulch in desert,24
11/17/2017 - 8:19am,5/29/2017,Garfield/Kane,Coyote Gulch,"Stream, bit of marsh",5
07/12/2015 - 10:32pm,7/9/2015,Grand,Moab - Spanish Valley,Pack Creek,15
07/12/2015 - 10:46pm,7/15/2014,Grand,Moab,Desert canyon with a creek,-1
08/07/2018 - 11:02pm,8/6/2018,Grand,So East of Escalante,"Coyote Gulch, Jacob Hamblin Arch",3
08/08/2018 - 8:32pm,8/6/2018,Grand,"Coyote Gulch, Escalante Drainage","Wetland, Desert Oasis",2
11/21/2020 - 9:50pm,11/21/2020,Grand,Moab,Tree,10
02/11/2021 - 2:47pm,5/31/2018,Grand,Castle Valley,looking down into an arroyo that had a small pond and spring with vegitation,-2
07/02/2015 - 6:56am,6/27/2015,Grand County,Moab,Pasture/park,6
07/02/2015 - 6:56am,6/27/2015,Grand County,Moab,Pasture/park,6
07/07/2016 - 1:20pm,6/30/2015,Iron,Brian Head,Forest,1
06/16/2020 - 3:29pm,6/6/2020,Iron,Cedar City/Ashdown Wilderness,"Forest with mountain stream, Rattlesnake Creek",3
07/03/2015 - 9:49pm,6/25/2015,Kane,Lake Powell,Nice wet micro-climate in the middle of the desert,4
06/11/2018 - 11:55pm,6/11/2018,Kane,Glendale,Marshy meadow,
07/09/2018 - 10:09am,6/1/1991,Kane,Johnson Canyon (near Kanab Utah),Wetland,100
08/13/2018 - 9:15pm,8/11/2018,Kane,Escalante/glen canyon,Hanging garden/dense riparian at head of canyon. Side drainage of Willow Gulch,3
07/08/2019 - 1:02pm,7/6/2019,Kane,Duck Creek Village,Forest,0
07/13/2019 - 10:38am,7/11/2019,Kane,Glen canyon national recreation area,"Marsh - river, many trees, red rock, spot canyon",50
10/04/2021 - 12:38pm,6/24/2020,Kane,near Escalante / Hall's crossing,"Emergent Wetland and Riparian - sedge, rush, willow, grass, cottonwoods",
07/04/2022 - 7:35am,5/21/1989,kane,escalante,canyon bottom,
07/15/2022 - 8:22am,7/5/2022,Kane,"Coyote Gulch, by Jacob Hamblin arch",by the springs at Jacob Hamblin Arch,7
07/02/2018 - 9:23pm,6/21/2018,Kane County,Garfield,river side marsh,4
07/13/2015 - 1:02pm,6/25/2015,Levy,Williston,Wooded 5 acre lot with home and aboveground swimming pool,1
06/29/2016 - 6:32pm,6/28/2016,Morgan,Stoddard,Pasture/wetland/farm,2
07/21/2017 - 9:37pm,7/21/2017,Morgan,Milton,Rural/farm,3
07/03/2022 - 9:16pm,7/15/1967,Morgan,Morgan,Chokecherry shrubs,20
07/08/2021 - 10:27pm,6/24/2021,NEVADA - great basin national park,Great basin national park,Bushy campsite near stream,3
05/25/2019 - 8:06pm,7/17/2010,NV,E of Lamoille,"Old irrigation ditch in the Ruby Mtn foothills, tall shrubs, but localized growth to ditch area.",3
07/13/2014 - 6:50pm,7/5/2014,Rich,Garden City,Lakeside and in the wetland of our family property at Bear Lake,
07/13/2015 - 2:42am,6/21/2015,rich,garden city,wetland,25
06/18/2018 - 3:19pm,6/16/1964,Rich,Garden City,Wetlands,3
06/23/2020 - 9:53pm,6/21/2020,Rich,Garden city,Lakeside,1
06/23/2020 - 10:07pm,6/23/2020,Rich,Garden city,Lakeside,20
06/23/2020 - 10:50pm,6/23/2020,Rich,Garden City,Wetlands near Bear Lake,4
10/04/2021 - 12:28pm,6/20/2020,Rich,Garden City,"Emergent wetland - sedge, rush, cattail",4
10/04/2021 - 12:30pm,6/22/2021,Rich,Garden City,"Emergent wetland - sedge, rush, cattail, and in lower branches of willows",4
06/17/2022 - 7:52am,6/16/2022,Rich,Garden city,Marsh/Lakeside/Wetland,5
06/17/2022 - 7:52am,6/16/2022,Rich,Garden city,Marsh/Lakeside/Wetland,5
07/03/2022 - 8:40pm,7/2/2022,Rich,Garden City,Wetland,2
07/04/2022 - 6:23am,6/18/2022,Rich,Garden city,Marsh,2
07/04/2022 - 6:31am,7/2/2022,Rich,Garden City,Lakefront marsh area,1
07/10/2022 - 1:26pm,8/6/2002,Rich,Garden city,Marsh,3
07/13/2022 - 1:31pm,6/11/2022,Rich,Garden City,Lakeside/wetlands,5
05/16/2020 - 2:48pm,8/29/2019,Rich county,Garden City,Slightly swampy,2
06/27/2021 - 11:07pm,6/27/2021,Rich County,Garden City,Grass near lakeside,4
04/30/2015 - 5:41pm,1/1/2015,Salt lake,Sandy,In my parents basement farm field across street at that time. No more sightings growing up there.,1
07/02/2015 - 1:55pm,6/26/2015,Salt Lake,Taylorsville,Residential subdivision,
07/12/2015 - 10:39pm,6/19/2015,salt lake,west valley city,city,4
09/11/2015 - 9:59pm,9/11/2015,Salt Lake,Salt Lake City,Highschool Football Field,12
06/10/2016 - 11:54pm,6/10/2016,Salt Lake,Murray,School Parking lot,2
07/12/2016 - 7:47pm,7/1/2016,Salt Lake,Sandy,Parking lot,2
06/11/2018 - 10:11pm,6/11/2018,Salt Lake,Draper,Mountainside,4
06/20/2018 - 7:23pm,6/20/2018,Salt lake,Glendale,Riverside,0
08/24/2018 - 9:14pm,8/24/2018,Salt lake,Salt lake,Back yard,2
04/22/2019 - 8:45am,4/20/2019,Salt lake,Magna,neighborhood,2
06/15/2019 - 8:02am,6/15/2019,salt lake,Salt Lake City,wet,1
07/09/2019 - 10:55pm,7/9/2019,Salt Lake,Salt Lake,Garden near stream,4
06/22/2020 - 10:33pm,6/9/2020,Salt Lake,Salt Lake City,"Urban yard, flower bef",5
06/28/2020 - 2:12pm,6/28/2020,Salt Lake,Riverton,Backyard,
06/24/2021 - 3:37pm,6/23/2021,Salt Lake,Kearns,Back yard day lillies,0
06/24/2021 - 10:29pm,6/7/2021,Salt Lake,West Valley Coty,Residential with large pine tree canopies,10
06/25/2021 - 10:28am,6/25/2021,Salt Lake,Salt Lake City,Pollinator garden on Rudbeckia. 8:30a.m. Not blinking.,0
07/05/2021 - 8:22am,7/5/2021,Salt Lake,Spruces campground Big Cottonwood canyon,Marshy meadow,3
06/03/2022 - 10:20pm,6/3/2022,salt lake,salt lake,farm,2
06/05/2022 - 10:00am,6/5/2022,Salt lake,Salt lake,Residential,20
07/02/2022 - 8:00pm,7/2/2022,Salt Lake,Cottonwood Heights,My garden,
07/13/2022 - 9:06am,7/12/2022,Salt Lake,Millcreek,Backyard pond,5
07/19/2022 - 9:33pm,7/19/2022,Salt Lake,Salt Lake City,"Edge of foothills, in/around a tree",3
06/22/2017 - 9:42pm,6/20/2017,Salt Lake ,South salt lakr,Tall grassrs,10
07/31/2017 - 11:17am,7/24/2017,Salt Lake ,Salt Lake City ,Drive-In movies,
08/06/2015 - 2:35pm,8/5/2015,Salt lake city,Taylorsville,trees,5
07/16/2018 - 4:38pm,7/11/2018,Salt Lake City COunty,Salt Lake City,Open Grass Field of Red Butte Garden Amphitheater,2
07/16/2015 - 2:10pm,7/14/2015,Salt Lake County,Salt Lake City,"Suburban tall pasture grass along a fence line, with plenty of water in tall lawn",2
06/26/2019 - 5:36pm,6/12/2019,Salt Lake County,Salt Lake City,"Suburban neighborhood, outdoor drive-in movie theater near Jordan River",2
05/26/2020 - 9:42pm,5/26/2020,Salt Lake County,South Jordan,Sitting on a window of my car.,1
05/26/2020 - 9:43pm,5/26/2020,Salt Lake County,South Jordan,Sitting on a window of my car.,1
07/04/2022 - 7:37pm,7/1/2022,Salt Lake County,Salt Lake City,Urban,8
07/23/2019 - 1:53pm,7/19/2019,San Juan,"Kigalia Gaurd Station, Monticello RD, Manti-La Sal NF","Ponderosa forest, near abundant Sego Lilies, very tall exotic grass. (wet year)",0
06/09/2018 - 10:25pm,6/5/2018,San juan?,"Fish and Owl Canyon near Blanding, UT",Canyon not much water nearby pools perhaps,2
06/17/2018 - 12:48pm,6/16/2018,Sanpeate,Indianola,7000 foot pinion juniper zone,
07/06/2015 - 9:52pm,6/10/2015,Sanpete,Spring City,wetland,
08/10/2015 - 6:30pm,6/1/2010,Sanpete,Indianola,Marsh with spring water flowing slowly,15
08/08/2016 - 8:19pm,6/18/2016,Sanpete,Indianola,"Pasture, sagebrush area.",1
06/12/2018 - 10:31pm,6/12/2018,Sanpete,Chester,Swamp,50
07/08/2018 - 4:39am,6/24/2018,Sanpete,Spring City,My secluded back yard.,
07/27/2018 - 1:28pm,6/16/2018,Sanpete,Manti,back yard rough grass,6
09/03/2018 - 9:41pm,8/2/2018,Sanpete,Fountain Green,Urban,1
04/10/2019 - 3:49pm,6/12/2016,Sanpete,Manti,grass hay field,4
04/11/2019 - 9:23am,6/12/2015,Sanpete,Manti,Marsh,2
06/21/2020 - 10:44pm,6/21/2020,Sanpete,Spring city,"Marsh, pasture",2
07/03/2022 - 8:26pm,6/11/2021,Sanpete,Mt Pleasant,Parking lot and farm ground,3
05/31/2018 - 8:54am,6/22/2016,Sevier,Annabella,"Grassy Marshy field, on a dirt road about 3 miles from my home in Annabella, UT.",10
06/03/2018 - 1:09am,6/4/2017,Sevier,Richfield,Wetland,5
06/07/2018 - 11:10pm,6/7/2018,Sevier,Richfield,Meadow,1000
06/07/2018 - 11:14pm,6/7/2018,Sevier,Richfield,Marsh,1000
06/27/2018 - 1:46pm,6/13/2018,Sevier,Richfield,Marsh/Pasture,
06/15/2018 - 7:52am,6/13/2018,Sevier county,Richfield,Pasture,20
07/17/2015 - 8:17am,7/15/2015,SL,Sandy,Residential garden bed,
06/04/2019 - 9:23pm,6/4/2019,SLC,Holladay,Wooded area,0
07/06/2014 - 6:59pm,7/4/2014,Summit,Park city,Poem field,12
07/14/2014 - 11:03am,7/4/2014,Summit,Park City,Wetland,-5
04/30/2015 - 4:37pm,6/27/2014,Summit,Oakley,Wet pasture,
04/30/2015 - 9:32pm,6/22/2014,Summit,Park City,dry mountain,
05/01/2015 - 2:29pm,1/1/2015,Summit,Peoa,Pasture between river and road,
06/21/2015 - 2:33pm,6/23/2014,Summit,Park City,wetland,-7
